sample_id,file_path,relative_path,emotion,sample_rate,duration_seconds
20,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_020.wav,neutral\neutral_020.wav,neutral,22050,2.5
21,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_021.wav,neutral\neutral_021.wav,neutral,22050,2.5
22,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_022.wav,neutral\neutral_022.wav,neutral,22050,2.5
23,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_023.wav,neutral\neutral_023.wav,neutral,22050,2.5
24,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_024.wav,neutral\neutral_024.wav,neutral,22050,2.5
25,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_025.wav,neutral\neutral_025.wav,neutral,22050,2.5
26,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_026.wav,neutral\neutral_026.wav,neutral,22050,2.5
27,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_027.wav,neutral\neutral_027.wav,neutral,22050,2.5
28,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_028.wav,neutral\neutral_028.wav,neutral,22050,2.5
29,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_029.wav,neutral\neutral_029.wav,neutral,22050,2.5
30,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_030.wav,neutral\neutral_030.wav,neutral,22050,2.5
31,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_031.wav,neutral\neutral_031.wav,neutral,22050,2.5
32,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_032.wav,neutral\neutral_032.wav,neutral,22050,2.5
33,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_033.wav,neutral\neutral_033.wav,neutral,22050,2.5
34,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_034.wav,neutral\neutral_034.wav,neutral,22050,2.5
35,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_035.wav,neutral\neutral_035.wav,neutral,22050,2.5
36,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_036.wav,neutral\neutral_036.wav,neutral,22050,2.5
37,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_037.wav,neutral\neutral_037.wav,neutral,22050,2.5
38,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_038.wav,neutral\neutral_038.wav,neutral,22050,2.5
39,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_039.wav,neutral\neutral_039.wav,neutral,22050,2.5
40,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_040.wav,neutral\neutral_040.wav,neutral,22050,2.5
41,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_041.wav,neutral\neutral_041.wav,neutral,22050,2.5
42,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_042.wav,neutral\neutral_042.wav,neutral,22050,2.5
43,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_043.wav,neutral\neutral_043.wav,neutral,22050,2.5
44,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_044.wav,neutral\neutral_044.wav,neutral,22050,2.5
45,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_045.wav,neutral\neutral_045.wav,neutral,22050,2.5
46,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_046.wav,neutral\neutral_046.wav,neutral,22050,2.5
47,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_047.wav,neutral\neutral_047.wav,neutral,22050,2.5
48,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_048.wav,neutral\neutral_048.wav,neutral,22050,2.5
49,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_049.wav,neutral\neutral_049.wav,neutral,22050,2.5
50,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_050.wav,neutral\neutral_050.wav,neutral,22050,2.5
51,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_051.wav,neutral\neutral_051.wav,neutral,22050,2.5
52,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_052.wav,neutral\neutral_052.wav,neutral,22050,2.5
53,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_053.wav,neutral\neutral_053.wav,neutral,22050,2.5
54,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_054.wav,neutral\neutral_054.wav,neutral,22050,2.5
55,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_055.wav,neutral\neutral_055.wav,neutral,22050,2.5
56,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_056.wav,neutral\neutral_056.wav,neutral,22050,2.5
57,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_057.wav,neutral\neutral_057.wav,neutral,22050,2.5
58,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_058.wav,neutral\neutral_058.wav,neutral,22050,2.5
59,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_059.wav,neutral\neutral_059.wav,neutral,22050,2.5
60,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_060.wav,neutral\neutral_060.wav,neutral,22050,2.5
61,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_061.wav,neutral\neutral_061.wav,neutral,22050,2.5
62,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_062.wav,neutral\neutral_062.wav,neutral,22050,2.5
63,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_063.wav,neutral\neutral_063.wav,neutral,22050,2.5
64,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_064.wav,neutral\neutral_064.wav,neutral,22050,2.5
65,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_065.wav,neutral\neutral_065.wav,neutral,22050,2.5
66,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_066.wav,neutral\neutral_066.wav,neutral,22050,2.5
67,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_067.wav,neutral\neutral_067.wav,neutral,22050,2.5
68,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_068.wav,neutral\neutral_068.wav,neutral,22050,2.5
69,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_069.wav,neutral\neutral_069.wav,neutral,22050,2.5
70,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_070.wav,neutral\neutral_070.wav,neutral,22050,2.5
71,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_071.wav,neutral\neutral_071.wav,neutral,22050,2.5
72,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_072.wav,neutral\neutral_072.wav,neutral,22050,2.5
73,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_073.wav,neutral\neutral_073.wav,neutral,22050,2.5
74,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_074.wav,neutral\neutral_074.wav,neutral,22050,2.5
75,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_075.wav,neutral\neutral_075.wav,neutral,22050,2.5
76,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_076.wav,neutral\neutral_076.wav,neutral,22050,2.5
77,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_077.wav,neutral\neutral_077.wav,neutral,22050,2.5
78,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_078.wav,neutral\neutral_078.wav,neutral,22050,2.5
79,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_079.wav,neutral\neutral_079.wav,neutral,22050,2.5
80,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_080.wav,neutral\neutral_080.wav,neutral,22050,2.5
81,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_081.wav,neutral\neutral_081.wav,neutral,22050,2.5
82,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_082.wav,neutral\neutral_082.wav,neutral,22050,2.5
83,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_083.wav,neutral\neutral_083.wav,neutral,22050,2.5
84,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_084.wav,neutral\neutral_084.wav,neutral,22050,2.5
85,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_085.wav,neutral\neutral_085.wav,neutral,22050,2.5
86,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_086.wav,neutral\neutral_086.wav,neutral,22050,2.5
87,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_087.wav,neutral\neutral_087.wav,neutral,22050,2.5
88,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_088.wav,neutral\neutral_088.wav,neutral,22050,2.5
89,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_089.wav,neutral\neutral_089.wav,neutral,22050,2.5
90,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_090.wav,neutral\neutral_090.wav,neutral,22050,2.5
91,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_091.wav,neutral\neutral_091.wav,neutral,22050,2.5
92,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_092.wav,neutral\neutral_092.wav,neutral,22050,2.5
93,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_093.wav,neutral\neutral_093.wav,neutral,22050,2.5
94,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_094.wav,neutral\neutral_094.wav,neutral,22050,2.5
95,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_095.wav,neutral\neutral_095.wav,neutral,22050,2.5
96,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_096.wav,neutral\neutral_096.wav,neutral,22050,2.5
97,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_097.wav,neutral\neutral_097.wav,neutral,22050,2.5
98,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_098.wav,neutral\neutral_098.wav,neutral,22050,2.5
99,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_099.wav,neutral\neutral_099.wav,neutral,22050,2.5
100,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_100.wav,neutral\neutral_100.wav,neutral,22050,2.5
101,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_001.wav,happy\happy_001.wav,happy,22050,2.5
102,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_002.wav,happy\happy_002.wav,happy,22050,2.5
103,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_003.wav,happy\happy_003.wav,happy,22050,2.5
104,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_004.wav,happy\happy_004.wav,happy,22050,2.5
105,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_005.wav,happy\happy_005.wav,happy,22050,2.5
106,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_006.wav,happy\happy_006.wav,happy,22050,2.5
107,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_007.wav,happy\happy_007.wav,happy,22050,2.5
108,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_008.wav,happy\happy_008.wav,happy,22050,2.5
109,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_009.wav,happy\happy_009.wav,happy,22050,2.5
110,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_010.wav,happy\happy_010.wav,happy,22050,2.5
111,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_011.wav,happy\happy_011.wav,happy,22050,2.5
112,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_012.wav,happy\happy_012.wav,happy,22050,2.5
113,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_013.wav,happy\happy_013.wav,happy,22050,2.5
114,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_014.wav,happy\happy_014.wav,happy,22050,2.5
115,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_015.wav,happy\happy_015.wav,happy,22050,2.5
116,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_016.wav,happy\happy_016.wav,happy,22050,2.5
117,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_017.wav,happy\happy_017.wav,happy,22050,2.5
118,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_018.wav,happy\happy_018.wav,happy,22050,2.5
119,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_019.wav,happy\happy_019.wav,happy,22050,2.5
120,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_020.wav,happy\happy_020.wav,happy,22050,2.5
121,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_021.wav,happy\happy_021.wav,happy,22050,2.5
122,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_022.wav,happy\happy_022.wav,happy,22050,2.5
123,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_023.wav,happy\happy_023.wav,happy,22050,2.5
124,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_024.wav,happy\happy_024.wav,happy,22050,2.5
125,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_025.wav,happy\happy_025.wav,happy,22050,2.5
126,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_026.wav,happy\happy_026.wav,happy,22050,2.5
127,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_027.wav,happy\happy_027.wav,happy,22050,2.5
128,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_028.wav,happy\happy_028.wav,happy,22050,2.5
129,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_029.wav,happy\happy_029.wav,happy,22050,2.5
130,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_030.wav,happy\happy_030.wav,happy,22050,2.5
131,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_031.wav,happy\happy_031.wav,happy,22050,2.5
132,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_032.wav,happy\happy_032.wav,happy,22050,2.5
133,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_033.wav,happy\happy_033.wav,happy,22050,2.5
134,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_034.wav,happy\happy_034.wav,happy,22050,2.5
135,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_035.wav,happy\happy_035.wav,happy,22050,2.5
136,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_036.wav,happy\happy_036.wav,happy,22050,2.5
137,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_037.wav,happy\happy_037.wav,happy,22050,2.5
138,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_038.wav,happy\happy_038.wav,happy,22050,2.5
139,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_039.wav,happy\happy_039.wav,happy,22050,2.5
140,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_040.wav,happy\happy_040.wav,happy,22050,2.5
141,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_041.wav,happy\happy_041.wav,happy,22050,2.5
142,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_042.wav,happy\happy_042.wav,happy,22050,2.5
143,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_043.wav,happy\happy_043.wav,happy,22050,2.5
144,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_044.wav,happy\happy_044.wav,happy,22050,2.5
145,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_045.wav,happy\happy_045.wav,happy,22050,2.5
146,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_046.wav,happy\happy_046.wav,happy,22050,2.5
147,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_047.wav,happy\happy_047.wav,happy,22050,2.5
148,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_048.wav,happy\happy_048.wav,happy,22050,2.5
149,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_049.wav,happy\happy_049.wav,happy,22050,2.5
150,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_050.wav,happy\happy_050.wav,happy,22050,2.5
151,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_051.wav,happy\happy_051.wav,happy,22050,2.5
152,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_052.wav,happy\happy_052.wav,happy,22050,2.5
153,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_053.wav,happy\happy_053.wav,happy,22050,2.5
154,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_054.wav,happy\happy_054.wav,happy,22050,2.5
155,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_055.wav,happy\happy_055.wav,happy,22050,2.5
156,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_056.wav,happy\happy_056.wav,happy,22050,2.5
157,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_057.wav,happy\happy_057.wav,happy,22050,2.5
158,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_058.wav,happy\happy_058.wav,happy,22050,2.5
159,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_059.wav,happy\happy_059.wav,happy,22050,2.5
160,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_060.wav,happy\happy_060.wav,happy,22050,2.5
161,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_061.wav,happy\happy_061.wav,happy,22050,2.5
162,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_062.wav,happy\happy_062.wav,happy,22050,2.5
163,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_063.wav,happy\happy_063.wav,happy,22050,2.5
164,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_064.wav,happy\happy_064.wav,happy,22050,2.5
165,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_065.wav,happy\happy_065.wav,happy,22050,2.5
166,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_066.wav,happy\happy_066.wav,happy,22050,2.5
167,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_067.wav,happy\happy_067.wav,happy,22050,2.5
168,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_068.wav,happy\happy_068.wav,happy,22050,2.5
169,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_069.wav,happy\happy_069.wav,happy,22050,2.5
170,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_070.wav,happy\happy_070.wav,happy,22050,2.5
171,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_071.wav,happy\happy_071.wav,happy,22050,2.5
172,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_072.wav,happy\happy_072.wav,happy,22050,2.5
173,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_073.wav,happy\happy_073.wav,happy,22050,2.5
174,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_074.wav,happy\happy_074.wav,happy,22050,2.5
175,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_075.wav,happy\happy_075.wav,happy,22050,2.5
176,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_076.wav,happy\happy_076.wav,happy,22050,2.5
177,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_077.wav,happy\happy_077.wav,happy,22050,2.5
178,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_078.wav,happy\happy_078.wav,happy,22050,2.5
179,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_079.wav,happy\happy_079.wav,happy,22050,2.5
180,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_080.wav,happy\happy_080.wav,happy,22050,2.5
181,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_081.wav,happy\happy_081.wav,happy,22050,2.5
182,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_082.wav,happy\happy_082.wav,happy,22050,2.5
183,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_083.wav,happy\happy_083.wav,happy,22050,2.5
184,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_084.wav,happy\happy_084.wav,happy,22050,2.5
185,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_085.wav,happy\happy_085.wav,happy,22050,2.5
186,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\happy\happy_086.wav,happy\happy_086.wav,happy,22050,2.5
