Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age_Months,Payment_of_Min_Amount,Total_EMI_per_month,Monthly_Balance,Payment_Behaviour,Credit_Score_Category,Credit_Default
24,28334.54,1786.73,4,4,3,3,1,1,Good,5911.78,33.25,60,Yes,167.55,1080.31,High_spent_Medium_value_payments,Standard,0
61,112714.41,7350.73,4,6,1,12,4,3,Bad,30308.35,24.76,370,Yes,2148.09,1730.56,High_spent_Small_value_payments,Poor,1
25,50712.71,3067.15,4,6,1,3,1,6,Standard,5965.64,6.49,41,No,401.73,1372.81,High_spent_Medium_value_payments,Standard,0
64,16296.59,1122.13,3,4,2,3,2,1,Standard,3396.93,19.89,225,Yes,119.19,558.38,High_spent_Medium_value_payments,Standard,0
52,48611.81,3438.01,4,4,4,0,1,5,Bad,3185.82,24.92,151,Yes,55.85,1731.57,High_spent_Large_value_payments,Poor,1
31,15000.0,966.12,5,8,3,10,6,2,Bad,6636.68,31.85,106,Yes,202.13,383.18,Low_spent_Small_value_payments,Poor,1
34,69537.03,4180.48,2,4,0,11,3,5,Good,25643.07,16.47,158,Yes,2436.06,50.0,Low_spent_Large_value_payments,Poor,1
53,27373.35,1692.75,2,7,2,0,2,6,Standard,6965.78,17.03,361,Yes,326.69,482.06,Low_spent_Large_value_payments,Standard,1
67,34331.49,2302.58,4,3,1,0,0,2,Standard,9173.12,2.93,515,No,914.62,614.45,Low_spent_Large_value_payments,Good,0
57,80456.99,5360.92,5,5,3,2,0,0,Standard,9553.14,34.57,401,Yes,306.34,1910.95,High_spent_Small_value_payments,Good,1
21,16775.95,1149.74,4,4,2,1,1,2,Standard,1560.21,10.07,25,Yes,63.11,444.18,High_spent_Small_value_payments,Standard,1
19,15704.92,985.49,1,3,0,2,1,4,Standard,6015.39,63.75,6,No,491.04,50.0,Low_spent_Small_value_payments,Poor,1
23,25587.02,1746.89,7,6,1,1,1,5,Bad,7108.74,16.67,26,No,546.86,239.2,Low_spent_Small_value_payments,Poor,1
59,67712.58,4567.43,7,4,1,6,2,7,Bad,4238.6,3.21,230,Yes,313.42,2185.92,High_spent_Small_value_payments,Standard,1
21,15000.0,952.46,2,2,1,0,1,4,Good,4142.12,64.62,23,No,385.46,186.56,Low_spent_Small_value_payments,Poor,1
46,15000.0,988.64,4,4,1,9,4,2,Standard,4763.22,33.45,171,No,418.83,80.19,High_spent_Small_value_payments,Poor,1
35,27703.24,1706.39,3,4,1,0,1,2,Bad,6588.39,16.98,90,No,470.03,222.13,High_spent_Medium_value_payments,Poor,0
43,50566.49,3281.91,4,3,3,4,1,1,Standard,3931.01,28.21,135,Yes,117.98,1544.68,High_spent_Large_value_payments,Standard,0
61,74619.49,5189.51,4,6,2,4,3,2,Standard,33637.26,22.53,304,Yes,1229.86,1798.33,High_spent_Medium_value_payments,Standard,0
51,27504.45,1775.77,5,2,3,1,1,5,Good,2487.93,39.92,286,Yes,66.7,738.51,Low_spent_Medium_value_payments,Good,0
27,28371.6,1960.34,4,6,4,3,2,2,Bad,5800.33,32.29,41,Yes,139.8,1229.74,Low_spent_Large_value_payments,Poor,1
53,72572.43,4818.4,5,4,3,3,1,6,Standard,32597.23,27.42,244,Yes,747.75,2471.97,Low_spent_Large_value_payments,Standard,1
31,15000.0,931.18,5,4,1,0,0,4,Standard,8610.08,13.96,49,No,651.83,50.0,Low_spent_Small_value_payments,Standard,0
48,28764.22,1906.93,4,6,1,2,4,2,Bad,4224.74,20.06,323,Yes,284.93,618.88,Low_spent_Medium_value_payments,Poor,1
65,40711.03,2665.82,3,3,5,9,2,7,Good,7834.99,12.46,321,Yes,127.77,976.74,Low_spent_Large_value_payments,Good,0
32,47549.72,3058.33,5,7,0,14,4,5,Good,12343.71,36.87,60,Yes,1101.47,933.14,Low_spent_Small_value_payments,Poor,1
25,26745.35,1639.38,4,5,1,0,2,4,Standard,4571.27,6.83,54,Yes,304.83,390.63,Low_spent_Small_value_payments,Standard,1
31,37073.76,2391.79,5,7,4,1,3,1,Standard,11155.89,38.84,61,Yes,246.94,791.6,High_spent_Large_value_payments,Poor,1
40,15000.0,911.82,3,3,2,4,2,2,Standard,2520.64,26.06,176,No,111.26,356.64,Low_spent_Medium_value_payments,Standard,1
57,24466.28,1494.16,4,7,4,2,1,1,Bad,3059.03,25.8,168,Yes,74.11,754.77,High_spent_Medium_value_payments,Poor,1
38,47672.27,3075.14,4,5,2,0,2,3,Good,11687.05,29.33,70,No,475.71,1478.36,Low_spent_Small_value_payments,Good,0
33,20143.23,1275.23,5,12,3,0,0,5,Standard,6352.57,36.25,67,No,152.4,661.32,Low_spent_Large_value_payments,Standard,0
62,37623.74,2634.67,3,9,2,9,4,2,Standard,9864.19,27.75,315,Yes,440.94,632.09,High_spent_Large_value_payments,Standard,0
35,47482.83,3042.23,5,5,2,3,4,7,Good,5771.08,18.3,105,Yes,229.44,1767.81,High_spent_Small_value_payments,Standard,1
64,29568.67,2016.88,3,4,1,2,2,0,Standard,3633.61,32.24,400,Yes,263.26,875.42,Low_spent_Large_value_payments,Good,0
41,40226.38,2644.66,4,4,2,6,3,1,Bad,24924.65,33.43,104,No,1091.56,365.09,High_spent_Large_value_payments,Poor,1
43,20381.04,1378.32,5,5,2,7,1,6,Good,6797.98,27.84,198,Yes,239.56,642.06,Low_spent_Medium_value_payments,Standard,0
42,32081.45,2015.29,5,3,3,3,3,2,Standard,5439.15,4.81,132,No,130.42,803.93,High_spent_Small_value_payments,Good,0
62,52372.12,3676.73,5,4,1,1,2,1,Standard,34644.08,62.87,279,No,2573.71,50.0,Low_spent_Large_value_payments,Poor,1
58,39902.08,2623.27,3,4,1,1,0,3,Standard,2642.05,36.38,404,Yes,236.83,1244.01,Low_spent_Medium_value_payments,Good,1
46,25542.05,1762.55,1,4,2,1,1,9,Standard,1733.31,68.24,253,No,75.08,1015.35,Low_spent_Medium_value_payments,Poor,1
32,41544.89,2656.99,4,2,4,3,1,2,Standard,13416.47,34.27,62,Yes,311.55,844.32,High_spent_Small_value_payments,Poor,1
62,55757.43,3405.98,3,8,2,2,2,2,Standard,14482.1,21.18,365,Yes,519.0,1775.07,High_spent_Medium_value_payments,Good,0
18,15000.0,1009.48,4,8,2,2,3,1,Standard,4497.54,32.08,6,No,155.75,265.09,High_spent_Small_value_payments,Poor,1
42,72798.05,4374.0,2,6,2,3,2,1,Bad,22092.9,16.03,258,Yes,1101.81,1259.09,High_spent_Small_value_payments,Poor,1
24,29680.55,1933.66,4,5,4,4,1,2,Good,6974.27,10.56,59,Yes,146.18,901.27,High_spent_Small_value_payments,Good,0
26,46877.54,2910.56,4,2,7,0,1,3,Bad,19366.51,25.39,76,Yes,273.82,1438.78,Low_spent_Medium_value_payments,Poor,1
41,74484.64,4975.32,3,4,0,2,2,0,Standard,20439.37,17.48,178,Yes,1766.98,1093.69,Low_spent_Large_value_payments,Standard,0
18,15946.52,1125.99,1,4,1,0,1,3,Standard,4440.14,18.79,6,Yes,401.2,381.04,High_spent_Small_value_payments,Poor,0
61,23726.2,1542.94,6,5,2,8,6,3,Standard,5421.51,2.97,282,No,207.45,800.47,Low_spent_Large_value_payments,Good,1
25,30542.39,2103.03,5,4,1,1,0,4,Standard,17480.96,46.26,43,Yes,1472.12,50.0,High_spent_Medium_value_payments,Poor,1
41,22691.55,1486.32,3,4,1,17,4,4,Standard,3749.53,57.72,135,No,298.28,393.9,Low_spent_Large_value_payments,Poor,1
28,102843.32,6723.03,3,4,0,10,3,4,Good,17026.44,61.88,78,No,1633.69,2116.62,Low_spent_Medium_value_payments,Poor,1
68,21718.87,1522.05,3,2,6,5,1,3,Good,5711.87,17.73,430,Yes,72.5,963.89,Low_spent_Medium_value_payments,Good,0
34,26021.33,1812.16,3,9,1,1,1,2,Good,7526.35,8.24,74,No,650.11,130.39,High_spent_Small_value_payments,Good,0
25,41053.58,2812.7,6,6,1,0,4,4,Bad,15939.09,23.79,55,No,1478.26,357.77,High_spent_Large_value_payments,Poor,1
52,17653.87,1115.89,7,7,1,3,0,1,Good,1951.79,12.98,185,No,181.13,510.97,High_spent_Medium_value_payments,Good,0
52,28640.92,1887.56,4,9,2,3,1,4,Bad,7763.79,7.48,86,Yes,360.89,396.81,Low_spent_Large_value_payments,Poor,1
50,43935.24,2742.68,4,3,2,6,1,1,Good,10980.35,10.14,119,No,548.3,998.93,High_spent_Small_value_payments,Good,0
22,29741.06,1927.49,2,6,3,0,2,4,Bad,9228.48,4.54,31,Yes,303.22,767.7,Low_spent_Small_value_payments,Poor,1
59,34336.63,2240.32,3,6,1,3,1,4,Standard,19554.36,50.99,378,Yes,1435.75,50.0,Low_spent_Medium_value_payments,Poor,0
56,26433.85,1824.19,5,2,1,7,3,5,Standard,6394.33,23.03,110,Yes,505.03,766.09,High_spent_Large_value_payments,Poor,1
58,15000.0,1045.6,4,5,1,2,3,4,Standard,4234.35,34.65,148,Yes,355.15,356.56,Low_spent_Medium_value_payments,Poor,1
45,44044.51,2840.51,3,8,0,3,0,2,Bad,16943.23,79.18,169,Yes,1540.32,50.0,Low_spent_Medium_value_payments,Poor,1
24,104084.66,6265.04,4,6,0,8,3,1,Bad,32460.2,27.6,19,No,2896.25,971.21,High_spent_Small_value_payments,Poor,1
26,36718.68,2545.92,1,4,1,3,3,2,Good,11575.12,20.78,62,Yes,1031.83,493.0,High_spent_Medium_value_payments,Standard,0
25,41571.02,2572.75,3,6,1,5,1,6,Standard,4834.33,38.31,18,Yes,367.84,831.69,High_spent_Medium_value_payments,Poor,1
29,55029.99,3672.54,2,3,3,7,2,2,Bad,17136.17,20.0,36,No,445.06,2097.66,Low_spent_Large_value_payments,Poor,1
51,16956.42,1021.97,4,3,2,9,3,3,Good,8509.05,23.09,281,Yes,312.78,390.62,High_spent_Medium_value_payments,Standard,1
50,100862.03,6488.25,5,6,3,6,3,8,Standard,13390.38,33.56,299,Yes,428.53,2352.22,High_spent_Medium_value_payments,Standard,0
65,41002.87,2898.13,6,5,2,0,2,4,Bad,16481.17,11.3,214,Yes,664.43,1147.69,High_spent_Large_value_payments,Poor,0
40,96675.39,5905.98,2,5,4,6,1,5,Standard,18719.5,12.44,137,Yes,384.99,2208.99,Low_spent_Medium_value_payments,Standard,0
41,23392.72,1510.94,7,5,0,0,1,3,Good,5359.72,12.5,167,Yes,528.46,101.3,Low_spent_Large_value_payments,Good,0
54,108102.72,6845.87,2,2,3,6,4,6,Good,29830.03,45.21,93,No,966.66,3496.54,High_spent_Large_value_payments,Standard,0
52,57820.19,4036.15,2,10,1,2,3,4,Bad,3587.7,35.45,284,No,272.59,2445.58,High_spent_Medium_value_payments,Standard,0
61,50605.93,3512.95,2,3,4,1,2,5,Standard,12023.45,38.58,124,Yes,289.38,1392.2,Low_spent_Small_value_payments,Poor,1
57,41790.1,2615.02,3,6,0,12,5,1,Standard,15979.51,52.87,152,Yes,1357.32,50.0,High_spent_Large_value_payments,Poor,1
39,31284.65,1904.59,6,6,2,12,7,4,Good,12440.73,1.46,179,Yes,550.35,340.42,High_spent_Large_value_payments,Standard,1
44,74631.58,4984.94,4,3,2,1,1,2,Standard,19489.46,31.85,243,No,789.1,2012.56,High_spent_Large_value_payments,Good,0
52,39506.32,2514.34,4,3,2,3,1,4,Bad,10027.99,22.15,284,Yes,498.79,1212.95,Low_spent_Medium_value_payments,Poor,1
18,15000.0,1009.21,6,4,2,2,1,5,Good,882.29,4.05,6,No,39.47,624.94,Low_spent_Small_value_payments,Good,0
52,18577.16,1121.09,5,6,2,0,1,2,Standard,4764.85,69.34,363,Yes,186.67,306.79,High_spent_Medium_value_payments,Poor,1
54,32483.66,1995.96,3,12,1,2,2,5,Bad,13847.43,30.61,331,No,1186.57,149.1,Low_spent_Small_value_payments,Poor,0
64,43739.17,2949.58,2,7,3,5,3,2,Standard,23578.28,3.46,348,Yes,751.44,1239.41,High_spent_Small_value_payments,Good,1
31,35103.18,2186.95,3,4,3,0,5,2,Standard,5126.36,35.86,37,Yes,117.59,1397.5,High_spent_Large_value_payments,Poor,0
20,75461.85,5228.79,5,5,2,1,1,4,Good,1081.76,40.91,19,Yes,40.01,3097.98,High_spent_Medium_value_payments,Good,0
18,15000.0,909.52,3,4,1,0,2,1,Bad,1277.5,30.24,6,Yes,85.47,419.52,Low_spent_Small_value_payments,Poor,0
22,39582.91,2467.38,4,5,1,0,3,8,Standard,13290.92,21.9,22,Yes,956.41,565.3,High_spent_Small_value_payments,Poor,1
43,15000.0,1062.27,5,2,2,0,4,7,Good,3014.04,21.54,169,No,127.99,452.99,High_spent_Large_value_payments,Good,0
31,57286.91,3705.99,6,4,4,2,2,4,Standard,18415.24,51.78,127,Yes,364.35,1241.88,High_spent_Small_value_payments,Poor,1
56,34314.55,2320.19,1,4,1,5,6,4,Standard,10145.88,41.08,347,Yes,843.65,480.32,Low_spent_Large_value_payments,Poor,0
44,46712.45,2895.18,6,3,4,2,3,3,Good,2534.5,40.73,172,Yes,52.49,1733.53,High_spent_Large_value_payments,Standard,0
26,21626.4,1440.47,8,4,0,1,3,7,Standard,4434.17,27.84,78,No,323.46,418.17,Low_spent_Medium_value_payments,Poor,1
32,78251.16,5310.6,4,6,2,6,4,4,Bad,14625.65,7.76,133,Yes,687.95,3020.74,Low_spent_Medium_value_payments,Poor,0
32,67848.65,4302.07,4,3,3,1,4,5,Standard,46540.4,56.89,74,Yes,1211.63,1287.71,Low_spent_Small_value_payments,Poor,1
43,51540.68,3555.26,3,4,0,0,3,0,Standard,6832.4,61.07,119,No,646.37,1467.48,Low_spent_Medium_value_payments,Standard,1
59,33600.28,2235.66,6,8,2,0,4,2,Good,9144.87,47.54,233,Yes,334.51,1078.37,High_spent_Medium_value_payments,Standard,1
30,51426.78,3302.4,3,4,1,10,3,1,Good,4330.75,17.57,106,Yes,338.25,1473.63,High_spent_Medium_value_payments,Good,0
68,23762.51,1569.3,6,6,3,0,3,3,Standard,5320.35,17.05,383,No,156.19,894.44,High_spent_Small_value_payments,Good,0
49,60677.81,4019.8,3,3,5,1,1,1,Good,20461.24,40.93,105,Yes,318.21,1865.59,Low_spent_Medium_value_payments,Standard,0
56,97703.1,6037.4,2,3,4,2,1,3,Bad,32938.94,17.41,193,Yes,608.18,2318.31,Low_spent_Small_value_payments,Poor,1
66,69034.82,4443.28,4,7,1,2,2,6,Good,25064.64,19.59,468,Yes,2457.13,50.0,Low_spent_Medium_value_payments,Good,0
69,23440.92,1493.67,4,4,2,8,5,3,Good,2444.09,45.95,521,Yes,99.85,876.09,High_spent_Large_value_payments,Good,1
49,45109.6,2902.49,3,8,0,2,1,3,Good,25412.38,26.23,109,Yes,2031.74,50.0,High_spent_Small_value_payments,Poor,1
21,16715.89,1140.78,6,3,0,7,4,2,Standard,1674.21,47.43,31,Yes,166.61,331.07,Low_spent_Medium_value_payments,Poor,1
47,51196.9,3339.45,3,6,1,0,2,2,Standard,19168.25,27.72,222,No,1512.36,382.94,Low_spent_Large_value_payments,Standard,1
54,47589.24,3340.13,9,3,3,8,5,4,Standard,4688.22,4.89,328,Yes,122.23,1902.03,High_spent_Small_value_payments,Good,0
40,15000.0,947.72,5,8,4,2,2,6,Good,1110.12,7.92,205,Yes,20.43,380.84,Low_spent_Medium_value_payments,Good,0
56,18086.66,1166.65,7,5,2,2,2,2,Standard,5700.65,31.35,137,Yes,238.57,500.22,Low_spent_Small_value_payments,Poor,1
62,30641.69,2099.73,5,5,2,3,2,1,Bad,6272.92,24.91,335,Yes,231.64,677.09,High_spent_Large_value_payments,Standard,1
32,30317.61,1998.39,2,5,1,3,0,2,Good,3528.01,23.41,49,Yes,264.27,642.58,Low_spent_Medium_value_payments,Standard,0
60,17576.43,1158.75,7,7,1,14,3,3,Good,6744.75,22.7,255,Yes,619.86,50.0,Low_spent_Small_value_payments,Standard,1
46,45861.77,2778.21,6,7,1,3,0,5,Bad,11503.37,68.67,151,Yes,934.61,903.62,High_spent_Medium_value_payments,Poor,1
53,42229.92,2716.15,9,7,3,0,0,5,Good,11561.7,32.48,332,Yes,284.61,1198.87,Low_spent_Small_value_payments,Good,0
30,32319.9,2033.99,3,9,4,0,3,3,Standard,4421.26,19.19,43,Yes,84.67,1010.44,Low_spent_Medium_value_payments,Standard,1
49,23075.46,1634.35,3,6,3,4,4,4,Standard,4405.84,18.8,296,Yes,107.39,925.69,High_spent_Small_value_payments,Standard,1
24,68133.5,4315.61,6,6,1,9,3,7,Bad,12300.04,63.02,32,Yes,918.61,1706.47,High_spent_Medium_value_payments,Poor,1
68,98051.12,6822.6,5,7,0,1,0,1,Bad,21985.63,6.23,145,No,2013.39,2286.45,High_spent_Small_value_payments,Standard,0
39,27169.85,1829.23,5,4,2,8,3,4,Good,12085.0,10.75,167,No,574.77,301.97,High_spent_Medium_value_payments,Good,1
45,25152.18,1602.02,6,7,3,1,1,2,Bad,1245.8,7.55,290,Yes,40.9,626.81,High_spent_Medium_value_payments,Standard,0
19,48762.88,3212.9,4,5,1,3,1,3,Good,18645.05,25.48,9,No,1858.64,50.0,High_spent_Medium_value_payments,Standard,0
59,29295.3,2024.48,4,5,2,8,2,2,Good,8239.16,10.62,416,Yes,330.56,541.81,Low_spent_Medium_value_payments,Good,0
62,33401.69,2323.75,7,6,5,2,0,6,Good,2302.84,13.09,239,No,31.73,1098.8,Low_spent_Small_value_payments,Good,0
23,56601.56,3494.44,3,5,2,2,2,1,Standard,9509.27,10.03,20,Yes,412.52,1920.28,High_spent_Small_value_payments,Standard,0
45,15000.0,955.18,4,6,1,0,2,3,Bad,1087.92,29.45,261,Yes,75.04,438.39,High_spent_Medium_value_payments,Poor,1
45,80096.02,5096.64,4,4,3,12,3,6,Standard,16359.23,4.49,71,Yes,490.22,2343.94,Low_spent_Large_value_payments,Standard,0
61,37934.2,2293.33,3,4,4,21,8,3,Good,6297.27,19.04,445,Yes,141.88,1239.79,Low_spent_Medium_value_payments,Standard,1
61,28370.47,1886.09,2,6,0,4,1,1,Good,3870.41,9.66,237,Yes,277.13,910.12,High_spent_Large_value_payments,Good,0
37,34422.29,2384.11,2,4,4,8,6,1,Good,3099.53,10.33,157,No,71.35,1033.98,High_spent_Small_value_payments,Good,0
47,35506.02,2277.13,3,5,2,4,2,1,Standard,9047.01,32.58,163,Yes,341.07,617.83,Low_spent_Small_value_payments,Standard,1
28,15000.0,1020.26,3,6,2,1,3,0,Standard,1467.39,8.55,76,Yes,58.22,379.41,Low_spent_Medium_value_payments,Standard,0
45,89050.86,5948.61,2,4,1,2,4,2,Standard,17919.57,37.09,140,Yes,1231.33,2906.21,High_spent_Large_value_payments,Standard,1
42,37227.22,2385.13,1,4,1,6,3,2,Standard,9318.28,29.04,121,No,755.14,294.97,Low_spent_Large_value_payments,Standard,0
56,47372.69,2914.75,3,4,1,5,2,2,Bad,17459.16,14.01,205,No,1340.84,142.86,Low_spent_Small_value_payments,Poor,0
50,64275.25,4350.43,9,6,2,21,5,9,Good,15505.26,36.14,288,No,681.75,1656.61,Low_spent_Small_value_payments,Poor,0
18,19678.9,1362.92,5,3,1,0,1,1,Standard,6395.33,46.05,6,Yes,483.74,414.59,High_spent_Small_value_payments,Poor,1
